Datetime,Energy Consumption (kWh),Day,Month,Day_of_Week,Week_of_Year,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_7
2023-04-10,366.37,10,4,0,15,403.37,422.67,449.22,425.08666666666676,415.0228571428571
2023-04-11,388.6,11,4,1,15,366.37,403.37,422.67,397.47,407.18285714285713
2023-04-12,445.46,12,4,2,15,388.6,366.37,403.37,386.1133333333334,405.68714285714293
2023-04-13,465.03,13,4,3,15,445.46,388.6,366.37,400.1433333333334,411.6028571428571
2023-04-14,412.82,14,4,4,15,465.03,445.46,388.6,433.03,420.1028571428572
2023-04-15,405.97,15,4,5,15,412.82,465.03,445.46,441.1033333333333,414.9028571428571
2023-04-16,390.68,16,4,6,15,405.97,412.82,465.03,427.94,412.51714285714286
2023-04-17,417.6,17,4,0,16,390.68,405.97,412.82,403.1566666666667,410.7042857142857
2023-04-18,450.28,18,4,1,16,417.6,390.68,405.97,404.75,418.02285714285716
2023-04-19,487.12,19,4,2,16,450.28,417.6,390.68,419.52,426.8342857142857
2023-04-20,432.41,20,4,3,16,487.12,450.28,417.6,451.6666666666667,432.7857142857143
2023-04-21,374.93,21,4,4,16,432.41,487.12,450.28,456.6033333333333,428.1257142857143
2023-04-22,379.49,22,4,5,16,374.93,432.41,487.12,431.4866666666667,422.71285714285716
2023-04-23,414.2,23,4,6,16,379.49,374.93,432.41,395.60999999999996,418.93
2023-04-24,442.88,24,4,0,17,414.2,379.49,374.93,389.53999999999996,422.29
2023-04-25,425.76,25,4,1,17,442.88,414.2,379.49,412.19,425.90142857142854
2023-04-26,419.76,26,4,2,17,425.76,442.88,414.2,427.6133333333333,422.3985714285714
2023-04-27,386.62,27,4,3,17,419.76,425.76,442.88,429.4666666666667,412.77571428571434
2023-04-28,398.8,28,4,4,17,386.62,419.76,425.76,410.7133333333333,406.2342857142857
2023-04-29,471.73,29,4,5,17,398.8,386.62,419.76,401.7266666666667,409.64428571428573
2023-04-30,470.39,30,4,6,17,471.73,398.8,386.62,419.05,422.82142857142856
2023-05-01,383.48,1,5,0,18,470.39,471.73,398.8,446.97333333333336,430.84857142857146
2023-05-02,411.61,2,5,1,18,383.48,470.39,471.73,441.86666666666673,422.36285714285714
2023-05-03,433.27,3,5,2,18,411.61,383.48,470.39,421.82666666666665,420.3414285714286
2023-05-04,417.38,4,5,3,18,433.27,411.61,383.48,409.4533333333333,422.2714285714286
2023-05-05,374.54,5,5,4,18,417.38,433.27,411.61,420.75333333333333,426.6657142857143
2023-05-06,425.46,6,5,5,18,374.54,417.38,433.27,408.3966666666667,423.19999999999993
2023-05-07,359.26,7,5,6,18,425.46,374.54,417.38,405.79333333333335,416.59
2023-05-08,416.33,8,5,0,19,359.26,425.46,374.54,386.42,400.7142857142857
2023-05-09,427.79,9,5,1,19,416.33,359.26,425.46,400.34999999999997,405.40714285714284
2023-05-10,416.31,10,5,2,19,427.79,416.33,359.26,401.1266666666666,407.7185714285714
2023-05-11,347.9,11,5,3,19,416.31,427.79,416.33,420.14333333333326,405.29571428571427
2023-05-12,348.61,12,5,4,19,347.9,416.31,427.79,397.3333333333333,395.37
2023-05-13,454.08,13,5,5,19,348.61,347.9,416.31,370.94000000000005,391.66571428571433
2023-05-14,380.66,14,5,6,19,454.08,348.61,347.9,383.53,395.75428571428574
2023-05-15,431.25,15,5,0,20,380.66,454.08,348.61,394.45,398.81142857142856
2023-05-16,471.31,16,5,1,20,431.25,380.66,454.08,421.99666666666667,400.9428571428571
2023-05-17,402.34,17,5,2,20,471.31,431.25,380.66,427.74,407.15999999999997
2023-05-18,395.74,18,5,3,20,402.34,471.31,431.25,434.9666666666667,405.1642857142857
2023-05-19,462.27,19,5,4,20,395.74,402.34,471.31,423.12999999999994,411.9985714285714
2023-05-20,446.03,20,5,5,20,462.27,395.74,402.34,420.1166666666666,428.2357142857142
2023-05-21,450.67,21,5,6,20,446.03,462.27,395.74,434.68,427.0857142857143
2023-05-22,359.61,22,5,0,21,450.67,446.03,462.27,452.99,437.08714285714285
2023-05-23,432.34,23,5,1,21,359.61,450.67,446.03,418.77,426.8528571428572
2023-05-24,444.1,24,5,2,21,432.34,359.61,450.67,414.20666666666665,421.2857142857143
2023-05-25,370.73,25,5,3,21,444.1,432.34,359.61,412.01666666666665,427.2514285714286
2023-05-26,411.55,26,5,4,21,370.73,444.1,432.34,415.72333333333336,423.67857142857144
2023-05-27,405.19,27,5,5,21,411.55,370.73,444.1,408.79333333333335,416.43285714285713
2023-05-28,481.46,28,5,6,21,405.19,411.55,370.73,395.8233333333333,410.59857142857146
2023-05-29,411.59,29,5,0,22,481.46,405.19,411.55,432.73333333333335,414.9971428571429
2023-05-30,426.95,30,5,1,22,411.59,481.46,405.19,432.74666666666667,422.42285714285714
2023-05-31,356.3,31,5,2,22,426.95,411.59,481.46,440.0,421.65285714285716
2023-06-01,397.67,1,6,3,22,356.3,426.95,411.59,398.28,409.11000000000007
2023-06-02,353.66,2,6,4,22,397.67,356.3,426.95,393.64000000000004,412.95857142857136
2023-06-03,432.68,3,6,5,22,353.66,397.67,356.3,369.21000000000004,404.68857142857144
2023-06-04,426.07,4,6,6,22,432.68,353.66,397.67,394.67,408.61571428571426
2023-06-05,444.1,5,6,0,23,426.07,432.68,353.66,404.1366666666666,400.70285714285717
2023-06-06,430.9,6,6,1,23,444.1,426.07,432.68,434.2833333333333,405.34714285714284
2023-06-07,429.0,7,6,2,23,430.9,444.1,426.07,433.69,405.9114285714286
2023-06-08,386.87,8,6,3,23,429.0,430.9,444.1,434.6666666666667,416.29714285714283
2023-06-09,390.5,9,6,4,23,386.87,429.0,430.9,415.59,414.75428571428574
2023-06-10,404.52,10,6,5,23,390.5,386.87,429.0,402.1233333333333,420.01714285714286
2023-06-11,442.83,11,6,6,23,404.52,390.5,386.87,393.9633333333333,415.9942857142857
2023-06-12,427.4,12,6,0,24,442.83,404.52,390.5,412.6166666666666,418.3885714285714
2023-06-13,385.9,13,6,1,24,427.4,442.83,404.52,424.9166666666667,416.0028571428571
2023-06-14,450.63,14,6,2,24,385.9,427.4,442.83,418.71,409.57428571428574
2023-06-15,370.94,15,6,3,24,450.63,385.9,427.4,421.31,412.66428571428565
2023-06-16,463.11,16,6,4,24,370.94,450.63,385.9,402.48999999999995,410.3885714285714
2023-06-17,433.48,17,6,5,24,463.11,370.94,450.63,428.2266666666667,420.76142857142855
2023-06-18,422.83,18,6,6,24,433.48,463.11,370.94,422.51,424.8985714285714
2023-06-19,465.17,19,6,0,25,422.83,433.48,463.11,439.8066666666667,422.0414285714286
2023-06-20,435.05,20,6,1,25,465.17,422.83,433.48,440.49333333333334,427.4371428571429
2023-06-21,394.44,21,6,2,25,435.05,465.17,422.83,441.01666666666665,434.4585714285714
2023-06-22,402.14,22,6,3,25,394.44,435.05,465.17,431.55333333333334,426.4314285714286
2023-06-23,410.86,23,6,4,25,402.14,394.44,435.05,410.54333333333335,430.8885714285715
2023-06-24,460.51,24,6,5,25,410.86,402.14,394.44,402.48,423.42428571428576
2023-06-25,452.14,25,6,6,25,460.51,410.86,402.14,424.50333333333333,427.2857142857143
2023-06-26,441.59,26,6,0,26,452.14,460.51,410.86,441.17,431.47285714285715
2023-06-27,370.97,27,6,1,26,441.59,452.14,460.51,451.41333333333336,428.1042857142857
2023-06-28,420.56,28,6,2,26,370.97,441.59,452.14,421.56666666666666,418.94999999999993
2023-06-29,403.04,29,6,3,26,420.56,370.97,441.59,411.03999999999996,422.6814285714286
2023-06-30,445.13,30,6,4,26,403.04,420.56,370.97,398.19000000000005,422.81
2023-07-01,396.34,1,7,5,26,445.13,403.04,420.56,422.91,427.7057142857143
2023-07-02,426.54,2,7,6,26,396.34,445.13,403.04,414.83666666666664,418.5385714285714
2023-07-03,372.35,3,7,0,27,426.54,396.34,445.13,422.67,414.88142857142856
2023-07-04,410.19,4,7,1,27,372.35,426.54,396.34,398.41,404.98999999999995
2023-07-05,421.16,5,7,2,27,410.19,372.35,426.54,403.02666666666664,410.59285714285716
2023-07-06,427.74,6,7,3,27,421.16,410.19,372.35,401.23333333333335,410.6785714285715
2023-07-07,351.54,7,7,4,27,427.74,421.16,410.19,419.69666666666666,414.20714285714286
2023-07-08,420.12,8,7,5,27,351.54,427.74,421.16,400.1466666666667,400.83714285714285
2023-07-09,386.12,9,7,6,27,420.12,351.54,427.74,399.8,404.23428571428576
2023-07-10,389.93,10,7,0,28,386.12,420.12,351.54,385.9266666666667,398.46000000000004
2023-07-11,382.9,11,7,1,28,389.93,386.12,420.12,398.72333333333336,400.9714285714286
2023-07-12,471.05,12,7,2,28,382.9,389.93,386.12,386.31666666666666,397.0728571428572
2023-07-13,354.15,13,7,3,28,471.05,382.9,389.93,414.6266666666667,404.19999999999993
2023-07-14,418.54,14,7,4,28,354.15,471.05,382.9,402.7,393.6871428571429
2023-07-15,456.46,15,7,5,28,418.54,354.15,471.05,414.58,403.25857142857143
2023-07-16,390.84,16,7,6,28,456.46,418.54,354.15,409.7166666666667,408.44999999999993
2023-07-17,460.32,17,7,0,29,390.84,456.46,418.54,421.94666666666666,409.1242857142857
2023-07-18,477.54,18,7,1,29,460.32,390.84,456.46,435.8733333333333,419.18
2023-07-19,377.12,19,7,2,29,477.54,460.32,390.84,442.90000000000003,432.7
2023-07-20,358.01,20,7,3,29,377.12,477.54,460.32,438.32666666666665,419.2814285714286
2023-07-21,338.75,21,7,4,29,358.01,377.12,477.54,404.22333333333336,419.8328571428571
2023-07-22,412.23,22,7,5,29,338.75,358.01,377.12,357.96000000000004,408.4342857142857
2023-07-23,392.07,23,7,6,29,412.23,338.75,358.01,369.66333333333336,402.11571428571426
2023-07-24,390.74,24,7,0,30,392.07,412.23,338.75,381.01666666666665,402.2914285714286
2023-07-25,429.89,25,7,1,30,390.74,392.07,412.23,398.34666666666664,392.3514285714286
2023-07-26,410.39,26,7,2,30,429.89,390.74,392.07,404.2333333333333,385.5442857142857
2023-07-27,448.84,27,7,3,30,410.39,429.89,390.74,410.34,390.29714285714283
2023-07-28,421.15,28,7,4,30,448.84,410.39,429.89,429.70666666666665,403.27285714285716
2023-07-29,401.56,29,7,5,30,421.15,448.84,410.39,426.7933333333333,415.0442857142857
2023-07-30,391.18,30,7,6,30,401.56,421.15,448.84,423.84999999999997,413.52000000000004
2023-07-31,453.94,31,7,0,31,391.18,401.56,421.15,404.63000000000005,413.39285714285717
2023-08-01,421.0,1,8,1,31,453.94,391.18,401.56,415.55999999999995,422.42142857142863
2023-08-02,387.4,2,8,2,31,421.0,453.94,391.18,422.03999999999996,421.15142857142854
2023-08-03,402.21,3,8,3,31,387.4,421.0,453.94,420.78,417.8671428571428
2023-08-04,425.22,4,8,4,31,402.21,387.4,421.0,403.53666666666663,411.20571428571424
2023-08-05,431.96,5,8,5,31,425.22,402.21,387.4,404.9433333333333,411.7871428571429
2023-08-06,422.38,6,8,6,31,431.96,425.22,402.21,419.7966666666666,416.13
2023-08-07,411.63,7,8,0,32,422.38,431.96,425.22,426.52,420.5871428571428
2023-08-08,446.68,8,8,1,32,411.63,422.38,431.96,421.98999999999995,414.5428571428571
2023-08-09,384.3,9,8,2,32,446.68,411.63,422.38,426.8966666666667,418.2114285714286
2023-08-10,386.16,10,8,3,32,384.3,446.68,411.63,414.2033333333334,417.76857142857136
2023-08-11,443.61,11,8,4,32,386.16,384.3,446.68,405.71333333333337,415.47571428571433
2023-08-12,362.88,12,8,5,32,443.61,386.16,384.3,404.69,418.1028571428571
2023-08-13,389.62,13,8,6,32,362.88,443.61,386.16,397.55,408.2342857142857
2023-08-14,460.75,14,8,0,33,389.62,362.88,443.61,398.7033333333333,403.55428571428575
2023-08-15,415.7,15,8,1,33,460.75,389.62,362.88,404.4166666666667,410.57142857142856
2023-08-16,414.25,16,8,2,33,415.7,460.75,389.62,422.0233333333333,406.1457142857143
2023-08-17,429.1,17,8,3,33,414.25,415.7,460.75,430.23333333333335,410.42428571428576
2023-08-18,409.69,18,8,4,33,429.1,414.25,415.7,419.6833333333334,416.5585714285714
2023-08-19,399.65,19,8,5,33,409.69,429.1,414.25,417.68,411.71285714285716
2023-08-20,435.7,20,8,6,33,399.65,409.69,429.1,412.81333333333333,416.96571428571434
2023-08-21,397.43,21,8,0,34,435.7,399.65,409.69,415.0133333333333,423.54857142857145
2023-08-22,398.1,22,8,1,34,397.43,435.7,399.65,410.9266666666667,414.5028571428571
2023-08-23,398.36,23,8,2,34,398.1,397.43,435.7,410.41,411.98857142857145
2023-08-24,367.23,24,8,3,34,398.36,398.1,397.43,397.96333333333337,409.7185714285714
2023-08-25,385.12,25,8,4,34,367.23,398.36,398.1,387.8966666666667,400.88
2023-08-26,374.27,26,8,5,34,385.12,367.23,398.36,383.57,397.37
2023-08-27,358.33,27,8,6,34,374.27,385.12,367.23,375.53999999999996,393.7442857142857
2023-08-28,341.52,28,8,0,35,358.33,374.27,385.12,372.57333333333327,382.6914285714286
2023-08-29,435.84,29,8,1,35,341.52,358.33,374.27,358.03999999999996,374.70428571428573
2023-08-30,431.46,30,8,2,35,435.84,341.52,358.33,378.56333333333333,380.0957142857142
2023-08-31,375.99,31,8,3,35,431.46,435.84,341.52,402.94,384.82428571428574
2023-09-01,429.1,1,9,4,35,375.99,431.46,435.84,414.43,386.0757142857143
2023-09-02,428.36,2,9,5,35,429.1,375.99,431.46,412.1833333333334,392.3585714285714
2023-09-03,423.13,3,9,6,35,428.36,429.1,375.99,411.15000000000003,400.0857142857143
2023-09-04,427.17,4,9,0,36,423.13,428.36,429.1,426.8633333333334,409.3428571428571
2023-09-05,428.37,5,9,1,36,427.17,423.13,428.36,426.22,421.57857142857137
2023-09-06,407.61,6,9,2,36,428.37,427.17,423.13,426.22333333333336,420.5114285714286
2023-09-07,355.62,7,9,3,36,407.61,428.37,427.17,421.05,417.1042857142857
2023-09-08,393.89,8,9,4,36,355.62,407.61,428.37,397.2,414.19428571428574
2023-09-09,397.64,9,9,5,36,393.89,355.62,407.61,385.7066666666667,409.1642857142857
2023-09-10,393.0,10,9,6,36,397.64,393.89,355.62,382.38333333333327,404.7757142857143
2023-09-11,427.53,11,9,0,37,393.0,397.64,393.89,394.8433333333333,400.4714285714286
2023-09-12,417.57,12,9,1,37,427.53,393.0,397.64,406.0566666666666,400.52285714285716
2023-09-13,398.79,13,9,2,37,417.57,427.53,393.0,412.7,398.97999999999996
2023-09-14,399.82,14,9,3,37,398.79,417.57,427.53,414.63000000000005,397.71999999999997
2023-09-15,360.4,15,9,4,37,399.82,398.79,417.57,405.3933333333334,404.03428571428566
2023-09-16,442.7,16,9,5,37,360.4,399.82,398.79,386.33666666666664,399.25
2023-09-17,468.0,17,9,6,37,442.7,360.4,399.82,400.97333333333336,405.6871428571429
2023-09-18,327.96,18,9,0,38,468.0,442.7,360.4,423.7,416.40142857142854
2023-09-19,419.22,19,9,1,38,327.96,468.0,442.7,412.8866666666666,402.1771428571428
2023-09-20,362.11,20,9,2,38,419.22,327.96,468.0,405.05999999999995,402.4128571428572
2023-09-21,430.17,21,9,3,38,362.11,419.22,327.96,369.7633333333333,397.17285714285714
2023-09-22,402.63,22,9,4,38,430.17,362.11,419.22,403.8333333333333,401.50857142857143
2023-09-23,435.44,23,9,5,38,402.63,430.17,362.11,398.30333333333334,407.5414285714286
2023-09-24,362.09,24,9,6,38,435.44,402.63,430.17,422.74666666666667,406.50428571428574
2023-09-25,444.29,25,9,0,39,362.09,435.44,402.63,400.0533333333333,391.3742857142857
2023-09-26,383.66,26,9,1,39,444.29,362.09,435.44,413.94000000000005,407.99285714285713
2023-09-27,396.12,27,9,2,39,383.66,444.29,362.09,396.68,402.91285714285715
2023-09-28,416.49,28,9,3,39,396.12,383.66,444.29,408.02333333333337,407.7714285714286
2023-09-29,412.14,29,9,4,39,416.49,396.12,383.66,398.75666666666666,405.81714285714287
2023-09-30,354.24,30,9,5,39,412.14,416.49,396.12,408.25,407.17571428571426
2023-10-01,368.16,1,10,6,39,354.24,412.14,416.49,394.29,395.57571428571424
2023-10-02,435.01,2,10,0,40,368.16,354.24,412.14,378.18,396.4428571428572
2023-10-03,425.92,3,10,1,40,435.01,368.16,354.24,385.8033333333333,395.1171428571429
2023-10-04,391.47,4,10,2,40,425.92,435.01,368.16,409.69666666666666,401.1542857142857
2023-10-05,428.45,5,10,3,40,391.47,425.92,435.01,417.4666666666667,400.49000000000007
2023-10-06,429.42,6,10,4,40,428.45,391.47,425.92,415.28000000000003,402.1985714285714
2023-10-07,413.65,7,10,5,40,429.42,428.45,391.47,416.44666666666666,404.6671428571429
2023-10-08,479.64,8,10,6,40,413.65,429.42,428.45,423.84,413.1542857142858
2023-10-09,406.79,9,10,0,41,479.64,413.65,429.42,440.90333333333336,429.08
2023-10-10,428.45,10,10,1,41,406.79,479.64,413.65,433.35999999999996,425.04857142857145
2023-10-11,425.54,11,10,2,41,428.45,406.79,479.64,438.29333333333335,425.40999999999997
2023-10-12,393.78,12,10,3,41,425.54,428.45,406.79,420.26,430.2771428571428
2023-10-13,404.33,13,10,4,41,393.78,425.54,428.45,415.92333333333335,425.32428571428574
2023-10-14,393.8,14,10,5,41,404.33,393.78,425.54,407.88333333333327,421.73999999999995
2023-10-15,416.55,15,10,6,41,393.8,404.33,393.78,397.3033333333333,418.9042857142857
2023-10-16,421.62,16,10,0,42,416.55,393.8,404.33,404.8933333333334,409.89142857142855
2023-10-17,464.32,17,10,1,42,421.62,416.55,393.8,410.6566666666667,412.01000000000005
2023-10-18,423.45,18,10,2,42,464.32,421.62,416.55,434.16333333333336,417.13428571428574
2023-10-19,417.46,19,10,3,42,423.45,464.32,421.62,436.46333333333337,416.8357142857143
2023-10-20,419.71,20,10,4,42,417.46,423.45,464.32,435.07666666666665,420.2185714285714
2023-10-21,423.86,21,10,5,42,419.71,417.46,423.45,420.20666666666665,422.4157142857143
2023-10-22,397.41,22,10,6,42,423.86,419.71,417.46,420.3433333333333,426.71
2023-10-23,426.78,23,10,0,43,397.41,423.86,419.71,413.66,423.9757142857143
2023-10-24,452.95,24,10,1,43,426.78,397.41,423.86,416.01666666666665,424.7128571428571
2023-10-25,443.88,25,10,2,43,452.95,426.78,397.41,425.71333333333337,423.0885714285714
2023-10-26,438.14,26,10,3,43,443.88,452.95,426.78,441.2033333333333,426.0071428571428
2023-10-27,398.56,27,10,4,43,438.14,443.88,452.95,444.99,428.9614285714286
2023-10-28,418.87,28,10,5,43,398.56,438.14,443.88,426.85999999999996,425.94
2023-10-29,388.2,29,10,6,43,418.87,398.56,438.14,418.52333333333337,425.2271428571429
2023-10-30,341.22,30,10,0,44,388.2,418.87,398.56,401.8766666666666,423.9114285714286
2023-10-31,341.44,31,10,1,44,341.22,388.2,418.87,382.7633333333333,411.68857142857144
2023-11-01,432.63,1,11,2,44,341.44,341.22,388.2,356.9533333333334,395.7585714285715
2023-11-02,467.07,2,11,3,44,432.63,341.44,341.22,371.7633333333333,394.15142857142854
2023-11-03,361.25,3,11,4,44,467.07,432.63,341.44,413.7133333333333,398.2842857142858
2023-11-04,421.91,4,11,5,44,361.25,467.07,432.63,420.31666666666666,392.95428571428573
2023-11-05,406.94,5,11,6,44,421.91,361.25,467.07,416.74333333333334,393.3885714285714
